ID,longitude,latitude,Notes
dongsi_aq,116.417,39.929,Urban
tiantan_aq,116.407,39.886,Urban
guanyuan_aq,116.339,39.929,Urban
wanshouxigong_aq,116.352,39.878,Urban
aotizhongxin_aq,116.397,39.982,Urban
nongzhanguan_aq,116.461,39.937,Urban
wanliu_aq,116.287,39.987,Urban
beibuxinqu_aq,116.174,40.09,Urban
zhiwuyuan_aq,116.207,40.002,Urban
fengtaihuayuan_aq,116.279,39.863,Urban
yungang_aq,116.146,39.824,Urban
gucheng_aq,116.184,39.914,Urban
fangshan_aq,116.136,39.742,Rural
daxing_aq,116.404,39.718,Rural
yizhuang_aq,116.506,39.795,Rural
tongzhou_aq,116.663,39.886,Rural
shunyi_aq,116.655,40.127,Rural
pingchang_aq,116.23,40.217,Rural
mentougou_aq,116.106,39.937,Rural
pinggu_aq,117.1,40.143,Rural
huairou_aq,116.628,40.328,Rural
miyun_aq,116.832,40.37,Rural
yanqin_aq,115.972,40.453,Rural
dingling_aq,116.22,40.292,Cross Reference
badaling_aq,115.988,40.365,Cross Reference
miyunshuiku_aq,116.911,40.499,Cross Reference
donggaocun_aq,117.12,40.1,Cross Reference
yongledian_aq,116.783,39.712,Cross Reference
yufa_aq,116.3,39.52,Cross Reference
liulihe_aq,116,39.58,Cross Reference
qianmen_aq,116.395,39.899,Traffic
yongdingmennei_aq,116.394,39.876,Traffic
xizhimenbei_aq,116.349,39.954,Traffic
nansanhuan_aq,116.368,39.856,Traffic
dongsihuan_aq,116.483,39.939,Traffic
